"Gene_ID","Well_ID","Score"
29962,"10_A10",0.7596
29321,"10_A11",0.5848
30063,"10_A12",1.7246
29419,"10_A13",1.6708
30119,"10_A14",1.4882
29469,"10_A15",1.6349
30198,"10_A16",1.5232
29545,"10_A17",2.1149
30264,"10_A18",1.3323
29623,"10_A19",1.1689
30405,"10_A20",0.9216
29676,"10_A21",1.9921
30581,"10_A22",1.4532
28963,"10_A3",1.5895
29764,"10_A4",1.2496
29042,"10_A5",0.2627
29868,"10_A6",1.5609
29142,"10_A7",0.0653
29912,"10_A8",1.1316
29277,"10_A9",1.0539
31781,"10_B10",1.9785
31194,"10_B11",1.1451
31857,"10_B12",0.1774
31260,"10_B13",0.2933
31935,"10_B14",1.2820
31316,"10_B15",0.2658
32052,"10_B16",1.2407
31348,"10_B17",0.6495
32117,"10_B18",1.4616
31426,"10_B19",1.0687
32180,"10_B20",1.2307
31470,"10_B21",1.5638
32262,"10_B22",1.6719
30660,"10_B3",1.8115
31552,"10_B4",1.7355
30767,"10_B5",0.0834
31612,"10_B6",1.7569
30902,"10_B7",1.4839
31684,"10_B8",1.8415
31008,"10_B9",2.3991
29350,"10_C11",1.1909
30066,"10_C12",0.4647
29428,"10_C13",1.1620
30123,"10_C14",1.4266
29472,"10_C15",1.0129
30211,"10_C16",0.7472
29551,"10_C17",1.0521
30270,"10_C18",1.2228
29645,"10_C19",0.9842
30408,"10_C20",0.6560
29702,"10_C21",0.6147
30584,"10_C22",1.2710
29771,"10_C4",1.3501
29058,"10_C5",0.7648
29871,"10_C6",0.8487
29146,"10_C7",0.7517
29931,"10_C8",0.5768
29281,"10_C9",0.8475
31825,"10_D10",1.1187
31213,"10_D11",1.0537
31876,"10_D12",0.2684
31282,"10_D13",0.8658
31320,"10_D15",0.5411
32067,"10_D16",0.5489
31389,"10_D17",1.2017
32121,"10_D18",0.7493
32183,"10_D20",1.3357
31473,"10_D21",1.2097
32275,"10_D22",0.5116
30685,"10_D3",0.5730
31555,"10_D4",0.5675
30801,"10_D5",0.9243
